Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1c.OUT), to(DIS1c.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1c ), to(DIS1c.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1d.OUT), to(DIS1d.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1d ), to(DIS1d.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1e.OUT), to(DIS1e.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1e ), to(DIS1e.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1f.OUT), to(DIS1f.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1f ), to(DIS1f.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS1g.OUT), to(DIS1g.PAD)
MOD: delay(45 45), type(tPDi), from(DIS1g ), to(DIS1g.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2a.OUT), to(DIS2a.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2a.C ), to(DIS2a.OUT)
CHK: delay(0 0), type(tWLA), from(DIS2a.C ), to(DIS2a.C )
CHK: delay(0 0), type(tWHA), from(DIS2a.C ), to(DIS2a.C )
CHK: delay(200 200), type(tH), from(DIS2a.D ), to(DIS2a.C )
CHK: delay(200 200), type(tS_PT), from(DIS2a.D ), to(DIS2a.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2b.OUT), to(DIS2b.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2b.C ), to(DIS2b.OUT)
CHK: delay(0 0), type(tWLA), from(DIS2b.C ), to(DIS2b.C )
CHK: delay(0 0), type(tWHA), from(DIS2b.C ), to(DIS2b.C )
CHK: delay(200 200), type(tH), from(DIS2b.D ), to(DIS2b.C )
CHK: delay(200 200), type(tS_PT), from(DIS2b.D ), to(DIS2b.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2c.OUT), to(DIS2c.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2c.C ), to(DIS2c.OUT)
CHK: delay(0 0), type(tWLA), from(DIS2c.C ), to(DIS2c.C )
CHK: delay(0 0), type(tWHA), from(DIS2c.C ), to(DIS2c.C )
CHK: delay(200 200), type(tH), from(DIS2c.D ), to(DIS2c.C )
CHK: delay(200 200), type(tS_PT), from(DIS2c.D ), to(DIS2c.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2d.OUT), to(DIS2d.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2d.C ), to(DIS2d.OUT)
CHK: delay(0 0), type(tWLA), from(DIS2d.C ), to(DIS2d.C )
CHK: delay(0 0), type(tWHA), from(DIS2d.C ), to(DIS2d.C )
CHK: delay(200 200), type(tH), from(DIS2d.D ), to(DIS2d.C )
CHK: delay(200 200), type(tS_PT), from(DIS2d.D ), to(DIS2d.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2e.OUT), to(DIS2e.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2e.C ), to(DIS2e.OUT)
CHK: delay(0 0), type(tWLA), from(DIS2e.C ), to(DIS2e.C )
CHK: delay(0 0), type(tWHA), from(DIS2e.C ), to(DIS2e.C )
CHK: delay(200 200), type(tH), from(DIS2e.D ), to(DIS2e.C )
CHK: delay(200 200), type(tS_PT), from(DIS2e.D ), to(DIS2e.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2f.OUT), to(DIS2f.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2f.C ), to(DIS2f.OUT)
CHK: delay(0 0), type(tWLA), from(DIS2f.C ), to(DIS2f.C )
CHK: delay(0 0), type(tWHA), from(DIS2f.C ), to(DIS2f.C )
CHK: delay(200 200), type(tH), from(DIS2f.D ), to(DIS2f.C )
CHK: delay(200 200), type(tS_PT), from(DIS2f.D ), to(DIS2f.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS2g.OUT), to(DIS2g.PAD)
MOD: delay(45 45), type(tCOi), from(DIS2g.C ), to(DIS2g.OUT)
CHK: delay(0 0), type(tWLA), from(DIS2g.C ), to(DIS2g.C )
CHK: delay(0 0), type(tWHA), from(DIS2g.C ), to(DIS2g.C )
CHK: delay(200 200), type(tH), from(DIS2g.D ), to(DIS2g.C )
CHK: delay(200 200), type(tS_PT), from(DIS2g.D ), to(DIS2g.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3a.OUT), to(DIS3a.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3a.C ), to(DIS3a.OUT)
CHK: delay(0 0), type(tWLA), from(DIS3a.C ), to(DIS3a.C )
CHK: delay(0 0), type(tWHA), from(DIS3a.C ), to(DIS3a.C )
CHK: delay(200 200), type(tH), from(DIS3a.D ), to(DIS3a.C )
CHK: delay(200 200), type(tS_PT), from(DIS3a.D ), to(DIS3a.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3b.OUT), to(DIS3b.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3b.C ), to(DIS3b.OUT)
CHK: delay(0 0), type(tWLA), from(DIS3b.C ), to(DIS3b.C )
CHK: delay(0 0), type(tWHA), from(DIS3b.C ), to(DIS3b.C )
CHK: delay(200 200), type(tH), from(DIS3b.D ), to(DIS3b.C )
CHK: delay(200 200), type(tS_PT), from(DIS3b.D ), to(DIS3b.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3c.OUT), to(DIS3c.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3c.C ), to(DIS3c.OUT)
CHK: delay(0 0), type(tWLA), from(DIS3c.C ), to(DIS3c.C )
CHK: delay(0 0), type(tWHA), from(DIS3c.C ), to(DIS3c.C )
CHK: delay(200 200), type(tH), from(DIS3c.D ), to(DIS3c.C )
CHK: delay(200 200), type(tS_PT), from(DIS3c.D ), to(DIS3c.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3d.OUT), to(DIS3d.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3d.C ), to(DIS3d.OUT)
CHK: delay(0 0), type(tWLA), from(DIS3d.C ), to(DIS3d.C )
CHK: delay(0 0), type(tWHA), from(DIS3d.C ), to(DIS3d.C )
CHK: delay(200 200), type(tH), from(DIS3d.D ), to(DIS3d.C )
CHK: delay(200 200), type(tS_PT), from(DIS3d.D ), to(DIS3d.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3e.OUT), to(DIS3e.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3e.C ), to(DIS3e.OUT)
CHK: delay(0 0), type(tWLA), from(DIS3e.C ), to(DIS3e.C )
CHK: delay(0 0), type(tWHA), from(DIS3e.C ), to(DIS3e.C )
CHK: delay(200 200), type(tH), from(DIS3e.D ), to(DIS3e.C )
CHK: delay(200 200), type(tS_PT), from(DIS3e.D ), to(DIS3e.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3f.OUT), to(DIS3f.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3f.C ), to(DIS3f.OUT)
CHK: delay(0 0), type(tWLA), from(DIS3f.C ), to(DIS3f.C )
CHK: delay(0 0), type(tWHA), from(DIS3f.C ), to(DIS3f.C )
CHK: delay(200 200), type(tH), from(DIS3f.D ), to(DIS3f.C )
CHK: delay(200 200), type(tS_PT), from(DIS3f.D ), to(DIS3f.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS3g.OUT), to(DIS3g.PAD)
MOD: delay(45 45), type(tCOi), from(DIS3g.C ), to(DIS3g.OUT)
CHK: delay(0 0), type(tWLA), from(DIS3g.C ), to(DIS3g.C )
CHK: delay(0 0), type(tWHA), from(DIS3g.C ), to(DIS3g.C )
CHK: delay(200 200), type(tH), from(DIS3g.D ), to(DIS3g.C )
CHK: delay(200 200), type(tS_PT), from(DIS3g.D ), to(DIS3g.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4a.OUT), to(DIS4a.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4a.C ), to(DIS4a.OUT)
CHK: delay(0 0), type(tWLA), from(DIS4a.C ), to(DIS4a.C )
CHK: delay(0 0), type(tWHA), from(DIS4a.C ), to(DIS4a.C )
CHK: delay(200 200), type(tH), from(DIS4a.D ), to(DIS4a.C )
CHK: delay(200 200), type(tS_PT), from(DIS4a.D ), to(DIS4a.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4b.OUT), to(DIS4b.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4b.C ), to(DIS4b.OUT)
CHK: delay(0 0), type(tWLA), from(DIS4b.C ), to(DIS4b.C )
CHK: delay(0 0), type(tWHA), from(DIS4b.C ), to(DIS4b.C )
CHK: delay(200 200), type(tH), from(DIS4b.D ), to(DIS4b.C )
CHK: delay(200 200), type(tS_PT), from(DIS4b.D ), to(DIS4b.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4c.OUT), to(DIS4c.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4c.C ), to(DIS4c.OUT)
CHK: delay(0 0), type(tWLA), from(DIS4c.C ), to(DIS4c.C )
CHK: delay(0 0), type(tWHA), from(DIS4c.C ), to(DIS4c.C )
CHK: delay(200 200), type(tH), from(DIS4c.D ), to(DIS4c.C )
CHK: delay(200 200), type(tS_PT), from(DIS4c.D ), to(DIS4c.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4d.OUT), to(DIS4d.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4d.C ), to(DIS4d.OUT)
CHK: delay(0 0), type(tWLA), from(DIS4d.C ), to(DIS4d.C )
CHK: delay(0 0), type(tWHA), from(DIS4d.C ), to(DIS4d.C )
CHK: delay(200 200), type(tH), from(DIS4d.D ), to(DIS4d.C )
CHK: delay(200 200), type(tS_PT), from(DIS4d.D ), to(DIS4d.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4e.OUT), to(DIS4e.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4e.C ), to(DIS4e.OUT)
CHK: delay(0 0), type(tWLA), from(DIS4e.C ), to(DIS4e.C )
CHK: delay(0 0), type(tWHA), from(DIS4e.C ), to(DIS4e.C )
CHK: delay(200 200), type(tH), from(DIS4e.D ), to(DIS4e.C )
CHK: delay(200 200), type(tS_PT), from(DIS4e.D ), to(DIS4e.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4f.OUT), to(DIS4f.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4f.C ), to(DIS4f.OUT)
CHK: delay(0 0), type(tWLA), from(DIS4f.C ), to(DIS4f.C )
CHK: delay(0 0), type(tWHA), from(DIS4f.C ), to(DIS4f.C )
CHK: delay(200 200), type(tH), from(DIS4f.D ), to(DIS4f.C )
CHK: delay(200 200), type(tS_PT), from(DIS4f.D ), to(DIS4f.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(DIS4g.OUT), to(DIS4g.PAD)
MOD: delay(45 45), type(tCOi), from(DIS4g.C ), to(DIS4g.OUT)
CHK: delay(0 0), type(tWLA), from(DIS4g.C ), to(DIS4g.C )
CHK: delay(0 0), type(tWHA), from(DIS4g.C ), to(DIS4g.C )
CHK: delay(200 200), type(tH), from(DIS4g.D ), to(DIS4g.C )
CHK: delay(200 200), type(tS_PT), from(DIS4g.D ), to(DIS4g.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED16.OUT), to(LED16.PAD)
MOD: delay(45 45), type(tPDi), from(LED16 ), to(LED16.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED17.OUT), to(LED17.PAD)
MOD: delay(45 45), type(tPDi), from(LED17 ), to(LED17.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(LED18.OUT), to(LED18.PAD)
MOD: delay(45 45), type(tPDi), from(LED18 ), to(LED18.OUT)
MOD: delay(95 95), type(tSRi), from(X0.AR ), to(X0.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(X0.Q ), to(X0.PAD)
MOD: delay(45 45), type(tCOi), from(X0.C ), to(X0.Q )
CHK: delay(0 0), type(tSRW), from(X0.AR ), to(X0.AR )
CHK: delay(180 180), type(tSRR), from(X0.AR ), to(X0.C )
CHK: delay(0 0), type(tCEH), from(X0.CE ), to(X0.C )
CHK: delay(200 200), type(tCES), from(X0.CE ), to(X0.C )
CHK: delay(0 0), type(tWLA), from(X0.C ), to(X0.C )
CHK: delay(0 0), type(tWHA), from(X0.C ), to(X0.C )
CHK: delay(200 200), type(tHT), from(X0.T ), to(X0.C )
CHK: delay(220 220), type(tST_PT), from(X0.T ), to(X0.C )
MOD: delay(95 95), type(tSRi), from(X1.AR ), to(X1.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(X1.Q ), to(X1.PAD)
MOD: delay(45 45), type(tCOi), from(X1.C ), to(X1.Q )
CHK: delay(0 0), type(tSRW), from(X1.AR ), to(X1.AR )
CHK: delay(180 180), type(tSRR), from(X1.AR ), to(X1.C )
CHK: delay(0 0), type(tCEH), from(X1.CE ), to(X1.C )
CHK: delay(200 200), type(tCES), from(X1.CE ), to(X1.C )
CHK: delay(0 0), type(tWLA), from(X1.C ), to(X1.C )
CHK: delay(0 0), type(tWHA), from(X1.C ), to(X1.C )
CHK: delay(200 200), type(tH), from(X1.D ), to(X1.C )
CHK: delay(200 200), type(tS_PT), from(X1.D ), to(X1.C )
MOD: delay(95 95), type(tSRi), from(X2.AR ), to(X2.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(X2.Q ), to(X2.PAD)
MOD: delay(45 45), type(tCOi), from(X2.C ), to(X2.Q )
CHK: delay(0 0), type(tSRW), from(X2.AR ), to(X2.AR )
CHK: delay(180 180), type(tSRR), from(X2.AR ), to(X2.C )
CHK: delay(0 0), type(tCEH), from(X2.CE ), to(X2.C )
CHK: delay(200 200), type(tCES), from(X2.CE ), to(X2.C )
CHK: delay(0 0), type(tWLA), from(X2.C ), to(X2.C )
CHK: delay(0 0), type(tWHA), from(X2.C ), to(X2.C )
CHK: delay(200 200), type(tH), from(X2.D ), to(X2.C )
CHK: delay(200 200), type(tS_PT), from(X2.D ), to(X2.C )
MOD: delay(95 95), type(tSRi), from(X3.AR ), to(X3.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(X3.Q ), to(X3.PAD)
MOD: delay(45 45), type(tCOi), from(X3.C ), to(X3.Q )
CHK: delay(0 0), type(tSRW), from(X3.AR ), to(X3.AR )
CHK: delay(180 180), type(tSRR), from(X3.AR ), to(X3.C )
CHK: delay(0 0), type(tCEH), from(X3.CE ), to(X3.C )
CHK: delay(200 200), type(tCES), from(X3.CE ), to(X3.C )
CHK: delay(0 0), type(tWLA), from(X3.C ), to(X3.C )
CHK: delay(0 0), type(tWHA), from(X3.C ), to(X3.C )
CHK: delay(200 200), type(tH), from(X3.D ), to(X3.C )
CHK: delay(200 200), type(tS_PT), from(X3.D ), to(X3.C )
MOD: delay(95 95), type(tSRi), from(X4.AR ), to(X4.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(X4.Q ), to(X4.PAD)
MOD: delay(45 45), type(tCOi), from(X4.C ), to(X4.Q )
CHK: delay(0 0), type(tSRW), from(X4.AR ), to(X4.AR )
CHK: delay(180 180), type(tSRR), from(X4.AR ), to(X4.C )
CHK: delay(0 0), type(tCEH), from(X4.CE ), to(X4.C )
CHK: delay(200 200), type(tCES), from(X4.CE ), to(X4.C )
CHK: delay(0 0), type(tWLA), from(X4.C ), to(X4.C )
CHK: delay(0 0), type(tWHA), from(X4.C ), to(X4.C )
CHK: delay(200 200), type(tH), from(X4.D ), to(X4.C )
CHK: delay(200 200), type(tS_PT), from(X4.D ), to(X4.C )
MOD: delay(95 95), type(tSRi), from(X5.AR ), to(X5.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(X5.Q ), to(X5.PAD)
MOD: delay(45 45), type(tCOi), from(X5.C ), to(X5.Q )
CHK: delay(0 0), type(tSRW), from(X5.AR ), to(X5.AR )
CHK: delay(180 180), type(tSRR), from(X5.AR ), to(X5.C )
CHK: delay(0 0), type(tCEH), from(X5.CE ), to(X5.C )
CHK: delay(200 200), type(tCES), from(X5.CE ), to(X5.C )
CHK: delay(0 0), type(tWLA), from(X5.C ), to(X5.C )
CHK: delay(0 0), type(tWHA), from(X5.C ), to(X5.C )
CHK: delay(200 200), type(tH), from(X5.D ), to(X5.C )
CHK: delay(200 200), type(tS_PT), from(X5.D ), to(X5.C )
MOD: delay(95 95), type(tSRi), from(X6.AR ), to(X6.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(X6.Q ), to(X6.PAD)
MOD: delay(45 45), type(tCOi), from(X6.C ), to(X6.Q )
CHK: delay(0 0), type(tSRW), from(X6.AR ), to(X6.AR )
CHK: delay(180 180), type(tSRR), from(X6.AR ), to(X6.C )
CHK: delay(0 0), type(tCEH), from(X6.CE ), to(X6.C )
CHK: delay(200 200), type(tCES), from(X6.CE ), to(X6.C )
CHK: delay(0 0), type(tWLA), from(X6.C ), to(X6.C )
CHK: delay(0 0), type(tWHA), from(X6.C ), to(X6.C )
CHK: delay(200 200), type(tH), from(X6.D ), to(X6.C )
CHK: delay(200 200), type(tS_PT), from(X6.D ), to(X6.C )
MOD: delay(95 95), type(tSRi), from(X7.AR ), to(X7.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(X7.Q ), to(X7.PAD)
MOD: delay(45 45), type(tCOi), from(X7.C ), to(X7.Q )
CHK: delay(0 0), type(tSRW), from(X7.AR ), to(X7.AR )
CHK: delay(180 180), type(tSRR), from(X7.AR ), to(X7.C )
CHK: delay(0 0), type(tCEH), from(X7.CE ), to(X7.C )
CHK: delay(200 200), type(tCES), from(X7.CE ), to(X7.C )
CHK: delay(0 0), type(tWLA), from(X7.C ), to(X7.C )
CHK: delay(0 0), type(tWHA), from(X7.C ), to(X7.C )
CHK: delay(200 200), type(tH), from(X7.D ), to(X7.C )
CHK: delay(200 200), type(tS_PT), from(X7.D ), to(X7.C )
MOD: delay(95 95), type(tSRi), from(Y0.AP ), to(Y0.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Y0.Q ), to(Y0.PAD)
MOD: delay(45 45), type(tCOi), from(Y0.C ), to(Y0.Q )
CHK: delay(0 0), type(tSRW), from(Y0.AP ), to(Y0.AP )
CHK: delay(180 180), type(tSRR), from(Y0.AP ), to(Y0.C )
CHK: delay(0 0), type(tCEH), from(Y0.CE ), to(Y0.C )
CHK: delay(200 200), type(tCES), from(Y0.CE ), to(Y0.C )
CHK: delay(0 0), type(tWLA), from(Y0.C ), to(Y0.C )
CHK: delay(0 0), type(tWHA), from(Y0.C ), to(Y0.C )
CHK: delay(200 200), type(tH), from(Y0.D ), to(Y0.C )
CHK: delay(200 200), type(tS_PT), from(Y0.D ), to(Y0.C )
MOD: delay(95 95), type(tSRi), from(Y1.AR ), to(Y1.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Y1.Q ), to(Y1.PAD)
MOD: delay(45 45), type(tCOi), from(Y1.C ), to(Y1.Q )
CHK: delay(0 0), type(tSRW), from(Y1.AR ), to(Y1.AR )
CHK: delay(180 180), type(tSRR), from(Y1.AR ), to(Y1.C )
CHK: delay(0 0), type(tCEH), from(Y1.CE ), to(Y1.C )
CHK: delay(200 200), type(tCES), from(Y1.CE ), to(Y1.C )
CHK: delay(0 0), type(tWLA), from(Y1.C ), to(Y1.C )
CHK: delay(0 0), type(tWHA), from(Y1.C ), to(Y1.C )
CHK: delay(200 200), type(tH), from(Y1.D ), to(Y1.C )
CHK: delay(200 200), type(tS_PT), from(Y1.D ), to(Y1.C )
MOD: delay(95 95), type(tSRi), from(Y2.AR ), to(Y2.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Y2.Q ), to(Y2.PAD)
MOD: delay(45 45), type(tCOi), from(Y2.C ), to(Y2.Q )
CHK: delay(0 0), type(tSRW), from(Y2.AR ), to(Y2.AR )
CHK: delay(180 180), type(tSRR), from(Y2.AR ), to(Y2.C )
CHK: delay(0 0), type(tCEH), from(Y2.CE ), to(Y2.C )
CHK: delay(200 200), type(tCES), from(Y2.CE ), to(Y2.C )
CHK: delay(0 0), type(tWLA), from(Y2.C ), to(Y2.C )
CHK: delay(0 0), type(tWHA), from(Y2.C ), to(Y2.C )
CHK: delay(200 200), type(tH), from(Y2.D ), to(Y2.C )
CHK: delay(200 200), type(tS_PT), from(Y2.D ), to(Y2.C )
MOD: delay(95 95), type(tSRi), from(Y3.AR ), to(Y3.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Y3.Q ), to(Y3.PAD)
MOD: delay(45 45), type(tCOi), from(Y3.C ), to(Y3.Q )
CHK: delay(0 0), type(tSRW), from(Y3.AR ), to(Y3.AR )
CHK: delay(180 180), type(tSRR), from(Y3.AR ), to(Y3.C )
CHK: delay(0 0), type(tCEH), from(Y3.CE ), to(Y3.C )
CHK: delay(200 200), type(tCES), from(Y3.CE ), to(Y3.C )
CHK: delay(0 0), type(tWLA), from(Y3.C ), to(Y3.C )
CHK: delay(0 0), type(tWHA), from(Y3.C ), to(Y3.C )
CHK: delay(200 200), type(tH), from(Y3.D ), to(Y3.C )
CHK: delay(200 200), type(tS_PT), from(Y3.D ), to(Y3.C )
MOD: delay(95 95), type(tSRi), from(Y4.AR ), to(Y4.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Y4.Q ), to(Y4.PAD)
MOD: delay(45 45), type(tCOi), from(Y4.C ), to(Y4.Q )
CHK: delay(0 0), type(tSRW), from(Y4.AR ), to(Y4.AR )
CHK: delay(180 180), type(tSRR), from(Y4.AR ), to(Y4.C )
CHK: delay(0 0), type(tCEH), from(Y4.CE ), to(Y4.C )
CHK: delay(200 200), type(tCES), from(Y4.CE ), to(Y4.C )
CHK: delay(0 0), type(tWLA), from(Y4.C ), to(Y4.C )
CHK: delay(0 0), type(tWHA), from(Y4.C ), to(Y4.C )
CHK: delay(200 200), type(tH), from(Y4.D ), to(Y4.C )
CHK: delay(200 200), type(tS_PT), from(Y4.D ), to(Y4.C )
MOD: delay(95 95), type(tSRi), from(Y5.AR ), to(Y5.Q )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(Y5.Q ), to(Y5.PAD)
MOD: delay(45 45), type(tCOi), from(Y5.C ), to(Y5.Q )
CHK: delay(0 0), type(tSRW), from(Y5.AR ), to(Y5.AR )
CHK: delay(180 180), type(tSRR), from(Y5.AR ), to(Y5.C )
CHK: delay(0 0), type(tCEH), from(Y5.CE ), to(Y5.C )
